id;provincia;comune;indirizzo;marchio_id;longitudine;latitudine;tipo;fascia_id
1;PN;PORCIA;VIA SPINAZZEDO 10;2;45.9423039887036;12.6180231916273;STRADALE;2
2;PN;PORDENONE;VIA PIAVE 8/A;6;45.9692326271408;12.6720715070693;STRADALE;2
3;TS;TRIESTE;VIA FORLANINI 44;2;45.6363480966890;13.8311371979297;STRADALE;1
4;TS;TRIESTE;P.ZZA FORAGGI 7;3;45.6401087804268;13.7891303909119;STRADALE;1
5;TS;TRIESTE;P.LE VALMAURA 4;3;45.6254444306621;13.7953374768308;STRADALE;1
6;TS;TRIESTE;VIA F.SEVERO 2/3;7;45.6555313855752;13.7764904080456;STRADALE;1
7;UD;UDINE;VIA COTONIFICIO 241;2;46.0908202614266;13.2144336867698;STRADALE;2
8;UD;SAN DANIELE DEL FRIULI ;V.LE TRENTO E TRIESTE 83;3;46.1525710439016;13.0088579384969;STRADALE;2
9;PN;ROVEREDO IN PIANO ;VIA PIONIERI DELL'ARIA 40;5;46.0103608351956;12.6246463913708;STRADALE;2
10;UD;PAVIA DI UDINE ;VIA AQUILEIA 12;2;45.9746329657060;13.3234035270817;STRADALE;2
11;UD;TARCENTO;VIA UDINE 28;2;46.2127334471710;13.2126404849067;STRADALE;2
12;GO;GORIZIA;VIA AQUILEIA 60;2;45.9346782424872;13.6010097303403;STRADALE;1
13;GO;GRADO;VIALE ARGINE DEI MORERI 52;5;45.6817824344509;13.4046856476725;STRADALE;2
14;GO;MONFALCONE;VIA I MAGGIO 59;3;45.8139307622967;3.5131671974104;STRADALE;2
15;UD;TOLMEZZO;VIA PALUZZA 110;6;46.4211058238912;13.0214949639998;STRADALE;2
16;UD;TARVISIO;SS 13 KM 220+230;3;46.5064492129888;13.5691075142594;STRADALE;2
17;TS;TRIESTE;VIA DELL'ISTRIA 155;2;45.6272772068048;13.7942638189352;STRADALE;1
18;UD;CODROIPO;VIA CAVALCAVIA 11;3;45.9701032878798;13.0010482457853;STRADALE;2
19;TS;MUGGIA;LOC.AQUILINIA VIA FLAVIA 12/A;4;45.6055154908200;13.8073759297415;STRADALE;1
20;UD;LIGNANO SABBIADORO;VIA TARVISIO 59;6;45.6695904472387;13.0943997379322;STRADALE;2

