id;nome;cognome;codice_fiscale
1;Towels aggregate stabile;withdrawal driver;Buckinghamshire Markets Granite
2;Plastic COM;Infrastructure;quantifying
3;Fish;system Livorno Cotton;Awesome International convergenze
4;modulare;Borders;Product Wooden generate
5;withdrawal Steel;orchid;Bacon front-end
6;generating Communications;virtual;Wooden
7;Avon Account Ngultrum;Gorgeous Supporto Ball;Account
8;copy Successo;Matrice Sausages Tunisian;transmit
9;al USB;orange;Incrocio
10;compress District fuchsia;Dynamic Lodi SDD;Producer
